Date,Title,Teaser,Date_Link
13.04.2020,"China sorgt sich um eine zweite Welle von Infektionen. Mehr als 22 000 Tote in den USA, Trump verwehrt sich dagegen, frühe Warnungen ignoriert zu haben – die neusten Entwicklungen zum Coronavirus weltweit",False,13.04.2020
13.04.2020,Das sind die Gesichter der Corona-Krise,False,13.04.2020
13.04.2020,"Ex-EU-Kommissar über die Corona-Krise: «Wir waren nicht konsequent genug, als es darum ging, Italien zu ermahnen»",False,13.04.2020
13.04.2020,Singapurs Gastarbeiter werden zum Gesundheitsrisiko,False,13.04.2020
False,"Philipp Hildebrand: «Aktuell sind bei uns gut 20 Prozent der Wirtschaft lahmgelegt. Wir müssen alles daransetzen, um diesen Teil, der eigentlich gesund ist, zu bewahren»",False,12.04.2020
11.04.2020,Corona-Krise: So wollen Schweizer Ökonomen das Land vom Lockdown befreien,False,12.04.2020
False,Masken tragen und Überwachung der Kontakte mittels Handy: Nach dem Stillstand erwartet uns ein neuer Alltag,False,12.04.2020
12.04.2020,"Zahl der Neuinfektionen pro Tag sinkt weiter, Osterstau am Gotthard bleibt aus – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,12.04.2020
False,Gefahr eines erneuten Groundings: Swissport geht bald das Geld aus,False,12.04.2020
12.04.2020,Der Papst spendet den Ostersegen Urbi et Orbi aus dem «Off»,False,12.04.2020
12.04.2020,Die Feierlichkeiten der Osterwoche im Vatikan,False,12.04.2020
11.04.2020,"Ostern in Zeiten von Corona: Wirkliche Stärke kommt nicht aus der Kraft, sondern aus der Verletzlichkeit",False,12.04.2020
12.04.2020,"Die Türken halten sich an die fürs Wochenende verhängte Ausgangssperre, Russland verzeichnet über 2000 neue Fälle innerhalb eines Tages – die neusten Entwicklungen zum Coronavirus weltweit",False,12.04.2020
11.04.2020,"Steven Pinker zur Corona-Pandemie: «Wir fahren Verluste ein, aber wir werden siegen»",False,12.04.2020
12.04.2020,Mit dem Velo zum Weissen Haus – unterwegs in der Geisterstadt Washington,False,12.04.2020
